created_at,id_str,full_text,lang,username
Tue Dec 05 12:27:50 +0000 2023,1.73201E+18,@BangPino__ Banyak bacot jubir mahasiswanya  to the point aja  pak anies msh banyak agenda,in,IndraGu90963946
Tue Dec 05 10:06:52 +0000 2023,1.73198E+18,@BangPino__ sulit mau menang kalau masih belum merakyat.. banter2 25% lah..,in,HenkiAnton
Wed Dec 06 02:56:58 +0000 2023,1.73223E+18,@BangPino__ sebagai pendukung pak anies yg baik  ayok kita simpan video ini. apabila nanti kebijakan beliau tidak sesuai dengan apa yg beliau sampaikan  ingatkan lagi dengan video ini. dan semoga beliau nanti apabila sudah terpilih  tidak berubah dan tidak menjadi sosok yg anti kritik.,in,BapakeDzany
Wed Dec 06 02:08:21 +0000 2023,1.73222E+18,@BangPino__ kalau dp 0% dan ok oc nya beres  baru percaya,in,HeyJudeOnlen
Wed Dec 06 02:48:36 +0000 2023,1.73223E+18,@BangPino__ Menarik jawaban soal IKN  saripati yg perlu kawan-kawan muda dan masyarakat Indonesia tau tentang pandangan #AM1N soal IKN:  1. #AM1N setuju pembangunan IKN 2. #AMIN melanjutkan pembangunan IKN TETAPI  3. #AM1N menahan (hold) pembangunan IKN diperiode selanjutnya  kenapa? karena…,in,saptahari
Wed Dec 06 02:13:17 +0000 2023,1.73222E+18,@BangPino__ Dari sini saya makin yakin  kalau diawal saya dukung Prabowo   setelah nonton ini  saya dukung Pak Anis masuk dalam kabinet Pak Prabowo memperbaiki bangsa ini. Semangat pak Anis…,in,PondokMunzir
Tue Dec 05 12:57:58 +0000 2023,1.73202E+18,@BangPino__ Masih ga paham sama prinsip berkeadilannya yang bolak-balik diutarakan  keadilannya yang bagaimana? Yang mendukung rakyat kecil yang mendukungnya jd presiden saja atau semuanya?...soal IKN juga kok sekarang malah bahas anggarannya  katanya mau revisi Undang2...mana yang betul?,in,ABe_Uton
Wed Dec 06 03:42:48 +0000 2023,1.73224E+18,@BangPino__ Mantap AMIN #AniesMuhaimin2024 #AminAjaDulu,in,onomsalam2pas
Wed Dec 06 02:23:03 +0000 2023,1.73222E+18,@BangPino__ Apakah reklamasi akan distop? duar aktualnya luar biasa :D,in,djoeni_djoeni
Tue Dec 05 08:54:56 +0000 2023,1.73196E+18,@BangPino__ @aniesbaswedan  setiap ditanya hal sensitif jwbn  selalu muter²  jawabnya  simple  Lawan oligarki Ya/tdk  IKN diteruskan atau tidak? tunduk atau tdk kpd surya paloh? dicabut atau tidak? prinsif keadilan. terima kasih mahasiwa dr ke 4 pertanyaan itu kami tau siapa pak anies ini.,in,eyangideralam
